Record Date,State,Interest Rate Percent,Record Fiscal Year,Record Fiscal Quarter,Record Calendar Year,Record Calendar Month
2016-10-14,Kentucky,2.22559842,2017,1,2016,4
2016-10-14,New York,2.22559842,2017,1,2016,4
2016-10-14,North Carolina,2.22559842,2017,1,2016,4
2016-10-14,Ohio,2.22559842,2017,1,2016,4
2016-10-14,Rhode Island,2.22559842,2017,1,2016,4
2016-10-14,South Carolina,2.22559842,2017,1,2016,4
2016-10-14,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-17,Arizona,2.22559842,2017,1,2016,4
2016-10-17,Arkansas,2.22559842,2017,1,2016,4
2016-10-17,California,2.22559842,2017,1,2016,4
2016-10-17,Connecticut,2.22559842,2017,1,2016,4
2016-10-17,Delaware,2.22559842,2017,1,2016,4
2016-10-17,Indiana,2.22559842,2017,1,2016,4
2016-10-17,Kentucky,2.22559842,2017,1,2016,4
2016-10-17,New York,2.22559842,2017,1,2016,4
2016-10-17,North Carolina,2.22559842,2017,1,2016,4
2016-10-17,Ohio,2.22559842,2017,1,2016,4
2016-10-17,Rhode Island,2.22559842,2017,1,2016,4
2016-10-17,South Carolina,2.22559842,2017,1,2016,4
2016-10-17,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-18,Arizona,2.22559842,2017,1,2016,4
2016-10-18,Arkansas,2.22559842,2017,1,2016,4
2016-10-18,California,2.22559842,2017,1,2016,4
2016-10-18,Connecticut,2.22559842,2017,1,2016,4
2016-10-18,Delaware,2.22559842,2017,1,2016,4
2016-10-18,Indiana,2.22559842,2017,1,2016,4
2016-10-18,Kentucky,2.22559842,2017,1,2016,4
2016-10-18,New York,2.22559842,2017,1,2016,4
2016-10-18,North Carolina,2.22559842,2017,1,2016,4
2016-10-18,Ohio,2.22559842,2017,1,2016,4
2016-10-18,Rhode Island,2.22559842,2017,1,2016,4
2016-10-18,South Carolina,2.22559842,2017,1,2016,4
2016-10-18,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-19,Arizona,2.22559842,2017,1,2016,4
2016-10-19,Arkansas,2.22559842,2017,1,2016,4
2016-10-19,California,2.22559842,2017,1,2016,4
2016-10-19,Connecticut,2.22559842,2017,1,2016,4
2016-10-19,Delaware,2.22559842,2017,1,2016,4
2016-10-19,Indiana,2.22559842,2017,1,2016,4
2016-10-19,Kentucky,2.22559842,2017,1,2016,4
2016-10-19,New York,2.22559842,2017,1,2016,4
2016-10-19,North Carolina,2.22559842,2017,1,2016,4
2016-10-19,Ohio,2.22559842,2017,1,2016,4
2016-10-19,Rhode Island,2.22559842,2017,1,2016,4
2016-10-19,South Carolina,2.22559842,2017,1,2016,4
2016-10-19,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-20,Arizona,2.22559842,2017,1,2016,4
2016-10-20,Arkansas,2.22559842,2017,1,2016,4
2016-10-20,California,2.22559842,2017,1,2016,4
2016-10-20,Connecticut,2.22559842,2017,1,2016,4
2016-10-20,Delaware,2.22559842,2017,1,2016,4
2016-10-20,Indiana,2.22559842,2017,1,2016,4
2016-10-20,Kentucky,2.22559842,2017,1,2016,4
2016-10-20,New York,2.22559842,2017,1,2016,4
2016-10-20,North Carolina,2.22559842,2017,1,2016,4
2016-10-20,Ohio,2.22559842,2017,1,2016,4
2016-10-20,Rhode Island,2.22559842,2017,1,2016,4
2016-10-20,South Carolina,2.22559842,2017,1,2016,4
2016-10-20,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-21,Arizona,2.22559842,2017,1,2016,4
2016-10-21,Arkansas,2.22559842,2017,1,2016,4
2016-10-21,California,2.22559842,2017,1,2016,4
2016-10-21,Connecticut,2.22559842,2017,1,2016,4
2016-10-21,Delaware,2.22559842,2017,1,2016,4
2016-10-21,Indiana,2.22559842,2017,1,2016,4
2016-10-21,Kentucky,2.22559842,2017,1,2016,4
2016-10-21,New York,2.22559842,2017,1,2016,4
2016-10-21,North Carolina,2.22559842,2017,1,2016,4
2016-10-21,Ohio,2.22559842,2017,1,2016,4
2016-10-21,Rhode Island,2.22559842,2017,1,2016,4
2016-10-21,South Carolina,2.22559842,2017,1,2016,4
2016-10-21,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-24,Arizona,2.22559842,2017,1,2016,4
2016-10-24,Arkansas,2.22559842,2017,1,2016,4
2016-10-24,California,2.22559842,2017,1,2016,4
2016-10-24,Connecticut,2.22559842,2017,1,2016,4
2016-10-24,Delaware,2.22559842,2017,1,2016,4
2016-10-24,Indiana,2.22559842,2017,1,2016,4
2016-10-24,Kentucky,2.22559842,2017,1,2016,4
2016-10-24,New York,2.22559842,2017,1,2016,4
2016-10-24,North Carolina,2.22559842,2017,1,2016,4
2016-10-24,Ohio,2.22559842,2017,1,2016,4
2016-10-24,Rhode Island,2.22559842,2017,1,2016,4
2016-10-24,South Carolina,2.22559842,2017,1,2016,4
2016-10-24,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-25,Arizona,2.22559842,2017,1,2016,4
2016-10-25,Arkansas,2.22559842,2017,1,2016,4
2016-10-25,California,2.22559842,2017,1,2016,4
2016-10-25,Connecticut,2.22559842,2017,1,2016,4
2016-10-25,Delaware,2.22559842,2017,1,2016,4
2016-10-25,Indiana,2.22559842,2017,1,2016,4
2016-10-25,Kentucky,2.22559842,2017,1,2016,4
