Record Date,State,Interest Rate Percent,Record Fiscal Year,Record Fiscal Quarter,Record Calendar Year,Record Calendar Month
2020-02-24,Connecticut,2.40870090,2020,2,2020,1
2020-02-24,Delaware,2.40870090,2020,2,2020,1
2020-02-24,Indiana,2.40870090,2020,2,2020,1
2020-02-24,Kentucky,2.40870090,2020,2,2020,1
2020-02-24,New York,2.40870090,2020,2,2020,1
2020-02-24,North Carolina,2.40870090,2020,2,2020,1
2020-02-24,Ohio,2.40870090,2020,2,2020,1
2020-02-24,Rhode Island,2.40870090,2020,2,2020,1
2020-02-24,South Carolina,2.40870090,2020,2,2020,1
2020-02-24,Virgin Islands,2.40870090,2020,2,2020,1
2020-02-25,Arizona,2.40870090,2020,2,2020,1
2020-02-25,Arkansas,2.40870090,2020,2,2020,1
2020-02-25,California,2.40870090,2020,2,2020,1
2020-02-25,Connecticut,2.40870090,2020,2,2020,1
2020-02-25,Delaware,2.40870090,2020,2,2020,1
2020-02-25,Indiana,2.40870090,2020,2,2020,1
2020-02-25,Kentucky,2.40870090,2020,2,2020,1
2020-02-25,New York,2.40870090,2020,2,2020,1
2020-02-25,North Carolina,2.40870090,2020,2,2020,1
2020-02-25,Ohio,2.40870090,2020,2,2020,1
2020-02-25,Rhode Island,2.40870090,2020,2,2020,1
2020-02-25,South Carolina,2.40870090,2020,2,2020,1
2020-02-25,Virgin Islands,2.40870090,2020,2,2020,1
2020-02-26,Arizona,2.40870090,2020,2,2020,1
2020-02-26,Arkansas,2.40870090,2020,2,2020,1
2020-02-26,California,2.40870090,2020,2,2020,1
2020-02-26,Connecticut,2.40870090,2020,2,2020,1
2020-02-26,Delaware,2.40870090,2020,2,2020,1
2020-02-26,Indiana,2.40870090,2020,2,2020,1
2020-02-26,Kentucky,2.40870090,2020,2,2020,1
2020-02-26,New York,2.40870090,2020,2,2020,1
2020-02-26,North Carolina,2.40870090,2020,2,2020,1
2020-02-26,Ohio,2.40870090,2020,2,2020,1
2020-02-26,Rhode Island,2.40870090,2020,2,2020,1
2020-02-26,South Carolina,2.40870090,2020,2,2020,1
2020-02-26,Virgin Islands,2.40870090,2020,2,2020,1
2020-02-27,Arizona,2.40870090,2020,2,2020,1
2020-02-27,Arkansas,2.40870090,2020,2,2020,1
2020-02-27,California,2.40870090,2020,2,2020,1
2020-02-27,Connecticut,2.40870090,2020,2,2020,1
2020-02-27,Delaware,2.40870090,2020,2,2020,1
2020-02-27,Indiana,2.40870090,2020,2,2020,1
2020-02-27,Kentucky,2.40870090,2020,2,2020,1
2020-02-27,New York,2.40870090,2020,2,2020,1
2020-02-27,North Carolina,2.40870090,2020,2,2020,1
2020-02-27,Ohio,2.40870090,2020,2,2020,1
2020-02-27,Rhode Island,2.40870090,2020,2,2020,1
2020-02-27,South Carolina,2.40870090,2020,2,2020,1
2020-02-27,Virgin Islands,2.40870090,2020,2,2020,1
2020-02-28,Arizona,2.40870090,2020,2,2020,1
2020-02-28,Arkansas,2.40870090,2020,2,2020,1
2020-02-28,California,2.40870090,2020,2,2020,1
2020-02-28,Connecticut,2.40870090,2020,2,2020,1
2020-02-28,Delaware,2.40870090,2020,2,2020,1
2020-02-28,Indiana,2.40870090,2020,2,2020,1
2020-02-28,Kentucky,2.40870090,2020,2,2020,1
2020-02-28,New York,2.40870090,2020,2,2020,1
2020-02-28,North Carolina,2.40870090,2020,2,2020,1
2020-02-28,Ohio,2.40870090,2020,2,2020,1
2020-02-28,Rhode Island,2.40870090,2020,2,2020,1
2020-02-28,South Carolina,2.40870090,2020,2,2020,1
2020-02-28,Virgin Islands,2.40870090,2020,2,2020,1
2020-03-02,Arizona,2.40870090,2020,2,2020,1
2020-03-02,Arkansas,2.40870090,2020,2,2020,1
2020-03-02,California,2.40870090,2020,2,2020,1
2020-03-02,Connecticut,2.40870090,2020,2,2020,1
2020-03-02,Delaware,2.40870090,2020,2,2020,1
2020-03-02,Indiana,2.40870090,2020,2,2020,1
2020-03-02,Kentucky,2.40870090,2020,2,2020,1
2020-03-02,New York,2.40870090,2020,2,2020,1
2020-03-02,North Carolina,2.40870090,2020,2,2020,1
2020-03-02,Ohio,2.40870090,2020,2,2020,1
2020-03-02,Rhode Island,2.40870090,2020,2,2020,1
2020-03-02,South Carolina,2.40870090,2020,2,2020,1
2020-03-02,Virgin Islands,2.40870090,2020,2,2020,1
2020-03-03,Arizona,2.40870090,2020,2,2020,1
2020-03-03,Arkansas,2.40870090,2020,2,2020,1
2020-03-03,California,2.40870090,2020,2,2020,1
2020-03-03,Connecticut,2.40870090,2020,2,2020,1
2020-03-03,Delaware,2.40870090,2020,2,2020,1
2020-03-03,Indiana,2.40870090,2020,2,2020,1
2020-03-03,Kentucky,2.40870090,2020,2,2020,1
2020-03-03,New York,2.40870090,2020,2,2020,1
2020-03-03,North Carolina,2.40870090,2020,2,2020,1
2020-03-03,Ohio,2.40870090,2020,2,2020,1
2020-03-03,Rhode Island,2.40870090,2020,2,2020,1
2020-03-03,South Carolina,2.40870090,2020,2,2020,1
2020-03-03,Virgin Islands,2.40870090,2020,2,2020,1
2020-03-04,Arizona,2.40870090,2020,2,2020,1
2020-03-04,Arkansas,2.40870090,2020,2,2020,1
2020-03-04,California,2.40870090,2020,2,2020,1
2020-03-04,Connecticut,2.40870090,2020,2,2020,1
2020-03-04,Delaware,2.40870090,2020,2,2020,1
2020-03-04,Indiana,2.40870090,2020,2,2020,1
2020-03-04,Kentucky,2.40870090,2020,2,2020,1
2020-03-04,New York,2.40870090,2020,2,2020,1
2020-03-04,North Carolina,2.40870090,2020,2,2020,1
2020-03-04,Ohio,2.40870090,2020,2,2020,1
2020-03-04,Rhode Island,2.40870090,2020,2,2020,1
2020-03-04,South Carolina,2.40870090,2020,2,2020,1
2020-03-04,Virgin Islands,2.40870090,2020,2,2020,1
2020-03-05,Arizona,2.40870090,2020,2,2020,1
2020-03-05,Arkansas,2.40870090,2020,2,2020,1
2020-03-05,California,2.40870090,2020,2,2020,1
2020-03-05,Connecticut,2.40870090,2020,2,2020,1
2020-03-05,Delaware,2.40870090,2020,2,2020,1
2020-03-05,Indiana,2.40870090,2020,2,2020,1
2020-03-05,Kentucky,2.40870090,2020,2,2020,1
2020-03-05,New York,2.40870090,2020,2,2020,1
2020-03-05,North Carolina,2.40870090,2020,2,2020,1
2020-03-05,Ohio,2.40870090,2020,2,2020,1
2020-03-05,Rhode Island,2.40870090,2020,2,2020,1
2020-03-05,South Carolina,2.40870090,2020,2,2020,1
2020-03-05,Virgin Islands,2.40870090,2020,2,2020,1
2020-03-06,Arizona,2.40870090,2020,2,2020,1
2020-03-06,Arkansas,2.40870090,2020,2,2020,1
